Invoice ID;Branch;City;Customer type;Gender;Id;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
750-67-8428;A;Yangon;Member;Female;4;Health and beauty;74.69;7;261.415;5.489.715;1/05/2019;13:08;Ewallet;522.83;4.761.904.762;261.415;9.1
226-31-3081;C;Naypyitaw;Normal;Female;1;Electronic accessories;15.28;5;3.82;80.22;3/08/2019;10:29;Cash;76.4;4.761.904.762;3.82;9.6
631-41-3108;A;Yangon;Normal;Male;5;Home and lifestyle;46.33;7;162.155;3.405.255;3/03/2019;13:23;Credit card;324.31;4.761.904.762;162.155;7.4
123-19-1176;A;Yangon;Member;Male;4;Health and beauty;58.22;8;23.288;489.048;1/27/2019;20:33;Ewallet;465.76;4.761.904.762;23.288;8.4
373-73-7910;A;Yangon;Normal;Male;6;Sports and travel;86.31;7;302.085;6.343.785;2/08/2019;10:37;Ewallet;604.17;4.761.904.762;302.085;5.3
699-14-3026;C;Naypyitaw;Normal;Male;1;Electronic accessories;85.39;7;298.865;6.276.165;3/25/2019;18:30;Ewallet;597.73;4.761.904.762;298.865;4.1
355-53-5943;A;Yangon;Member;Female;1;Electronic accessories;68.84;6;20.652;433.692;2/25/2019;14:36;Ewallet;413.04;4.761.904.762;20.652;5.8
315-22-5665;C;Naypyitaw;Normal;Female;5;Home and lifestyle;73.56;10;36.78;772.38;2/24/2019;11:38;Ewallet;735.6;4.761.904.762;36.78;8
665-32-9167;A;Yangon;Member;Female;4;Health and beauty;36.26;2;3.626;76.146;1/10/2019;17:15;Credit card;72.52;4.761.904.762;3.626;7.2
692-92-5582;B;Mandalay;Member;Female;3;Food and beverages;54.84;3;8.226;172.746;2/20/2019;13:27;Credit card;164.52;4.761.904.762;8.226;5.9
351-62-0822;B;Mandalay;Member;Female;2;Fashion accessories;14.48;4;2.896;60.816;2/06/2019;18:07;Ewallet;57.92;4.761.904.762;2.896;4.5
529-56-3974;B;Mandalay;Member;Male;1;Electronic accessories;25.51;4;5.102;107.142;3/09/2019;17:03;Cash;102.04;4.761.904.762;5.102;6.8
365-64-0515;A;Yangon;Normal;Female;1;Electronic accessories;46.95;5;117.375;2.464.875;2/12/2019;10:25;Ewallet;234.75;4.761.904.762;117.375;7.1
252-56-2699;A;Yangon;Normal;Male;3;Food and beverages;43.19;10;21.595;453.495;2/07/2019;16:48;Ewallet;431.9;4.761.904.762;21.595;8.2
829-34-3910;A;Yangon;Normal;Female;4;Health and beauty;71.38;10;35.69;749.49;3/29/2019;19:21;Cash;713.8;4.761.904.762;35.69;5.7
299-46-1805;B;Mandalay;Member;Female;6;Sports and travel;93.72;6;28.116;590.436;1/15/2019;16:19;Cash;562.32;4.761.904.762;28.116;4.5
656-95-9349;A;Yangon;Member;Female;4;Health and beauty;68.93;7;241.255;5.066.355;3/11/2019;11:03;Credit card;482.51;4.761.904.762;241.255;4.6
765-26-6951;A;Yangon;Normal;Male;6;Sports and travel;72.61;6;21.783;457.443;1/01/2019;10:39;Credit card;435.66;4.761.904.762;21.783;6.9
329-62-1586;A;Yangon;Normal;Male;3;Food and beverages;54.67;3;82.005;1.722.105;1/21/2019;18:00;Credit card;164.01;4.761.904.762;82.005;8.6
319-50-3348;B;Mandalay;Normal;Female;5;Home and lifestyle;40.3;2;4.03;84.63;3/11/2019;15:30;Ewallet;80.6;4.761.904.762;4.03;4.4
300-71-4605;C;Naypyitaw;Member;Male;1;Electronic accessories;86.04;5;21.51;451.71;2/25/2019;11:24;Ewallet;430.2;4.761.904.762;21.51;4.8
371-85-5789;B;Mandalay;Normal;Male;4;Health and beauty;87.98;3;13.197;277.137;3/05/2019;10:40;Ewallet;263.94;4.761.904.762;13.197;5.1
273-16-6619;B;Mandalay;Normal;Male;5;Home and lifestyle;33.2;2;3.32;69.72;3/15/2019;12:20;Credit card;66.4;4.761.904.762;3.32;4.4
636-48-8204;A;Yangon;Normal;Male;1;Electronic accessories;34.56;5;8.64;181.44;2/17/2019;11:15;Ewallet;172.8;4.761.904.762;8.64;9.9
549-59-1358;A;Yangon;Member;Male;6;Sports and travel;88.63;3;132.945;2.791.845;3/02/2019;17:36;Ewallet;265.89;4.761.904.762;132.945;6
227-03-5010;A;Yangon;Member;Female;5;Home and lifestyle;52.59;8;21.036;441.756;3/22/2019;19:20;Credit card;420.72;4.761.904.762;21.036;8.5
649-29-6775;B;Mandalay;Normal;Male;2;Fashion accessories;33.52;1;1.676;35.196;2/08/2019;15:31;Cash;33.52;4.761.904.762;1.676;6.7
189-17-4241;A;Yangon;Normal;Female;2;Fashion accessories;87.67;2;8.767;184.107;3/10/2019;12:17;Credit card;175.34;4.761.904.762;8.767;7.7
